improve 0.2.3.0.1 at Shape(x=250, y=300, w=50, h=50) depth 4
improve 0.2.3.0.0 at Shape(x=200, y=300, w=100, h=25) depth 4
improve 0.2.3.0.1 at Shape(x=200, y=325, w=100, h=25) depth 4
improve 0.2.3.0.0 at Shape(x=200, y=300, w=50, h=25) depth 4
improve 0.2.3.0.1 at Shape(x=250, y=300, w=50, h=25) depth 4
improve 0.2.3.0.2 at Shape(x=250, y=325, w=50, h=25) depth 4
improve 0.2.3.0.3 at Shape(x=200, y=325, w=50, h=25) depth 4
improve 0.2.3.1 at Shape(x=200, y=350, w=100, h=50) depth 3
improve 0.2.3.1.0 at Shape(x=200, y=350, w=50, h=50) depth 4
improve 0.2.3.1.1 at Shape(x=250, y=350, w=50, h=50) depth 4
improve 0.2.3.1.0 at Shape(x=200, y=350, w=100, h=25) depth 4
improve 0.2.3.1.1 at Shape(x=200, y=375, w=100, h=25) depth 4
improve 0.2.3.1.0 at Shape(x=200, y=350, w=50, h=25) depth 4
improve 0.2.3.1.1 at Shape(x=250, y=350, w=50, h=25) depth 4
improve 0.2.3.1.2 at Shape(x=250, y=375, w=50, h=25) depth 4
improve 0.2.3.1.3 at Shape(x=200, y=375, w=50, h=25) depth 4
improve 0.2.3.0 at Shape(x=200, y=300, w=50, h=50) depth 3
improve 0.2.3.1 at Shape(x=250, y=300, w=50, h=50) depth 3
improve 0.2.3.2 at Shape(x=250, y=350, w=50, h=50) depth 3
improve 0.2.3.3 at Shape(x=200, y=350, w=50, h=50) depth 3
0.2 options = [Option(cmds=[], score=47293.571118997446), Option(cmds=['color [0.2] [88, 117, 163, 255]'], score=10170.515056207922), Option(cmds=['cut [0.2] [x] [300]', 'cut [0.2.0] [y] [300]', 'color [0.2.0.0] [100, 130, 169, 255]', 'color [0.2.0.1] [79, 103, 152, 255]', 'color [0.2.1] [86, 116, 164, 255]'], score=10178.37945997695), Option(cmds=['cut [0.2] [y] [300]', 'color [0.2.0] [94, 126, 169, 255]', 'cut [0.2.1] [y] [350]', 'color [0.2.1.0] [91, 118, 161, 255]', 'color [0.2.1.1] [69, 90, 146, 255]'], score=9890.63793712372), Option(cmds=['cut [0.2] [300, 300]', 'color [0.2.0] [100, 130, 169, 255]', 'color [0.2.1] [89, 123, 170, 255]', 'color [0.2.2] [81, 107, 157, 255]', 'color [0.2.3] [79, 103, 152, 255]'], score=10161.237484400297)]
0.2 best option = Option(cmds=['cut [0.2] [y] [300]', 'color [0.2.0] [94, 126, 169, 255]', 'cut [0.2.1] [y] [350]', 'color [0.2.1.0] [91, 118, 161, 255]', 'color [0.2.1.1] [69, 90, 146, 255]'], score=9890.63793712372)
improve 0.3 at Shape(x=0, y=200, w=200, h=200) depth 1
improve 0.3.0 at Shape(x=0, y=200, w=100, h=200) depth 2
improve 0.3.0.0 at Shape(x=0, y=200, w=50, h=200) depth 3
improve 0.3.0.0.0 at Shape(x=0, y=200, w=25, h=200) depth 4
improve 0.3.0.0.1 at Shape(x=25, y=200, w=25, h=200) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=50, h=100) depth 4
improve 0.3.0.0.1 at Shape(x=0, y=300, w=50, h=100) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=25, h=100) depth 4
improve 0.3.0.0.1 at Shape(x=25, y=200, w=25, h=100) depth 4
improve 0.3.0.0.2 at Shape(x=25, y=300, w=25, h=100) depth 4
improve 0.3.0.0.3 at Shape(x=0, y=300, w=25, h=100) depth 4
improve 0.3.0.1 at Shape(x=50, y=200, w=50, h=200) depth 3
improve 0.3.0.1.0 at Shape(x=50, y=200, w=25, h=200) depth 4
improve 0.3.0.1.1 at Shape(x=75, y=200, w=25, h=200) depth 4
improve 0.3.0.1.0 at Shape(x=50, y=200, w=50, h=100) depth 4
improve 0.3.0.1.1 at Shape(x=50, y=300, w=50, h=100) depth 4
improve 0.3.0.1.0 at Shape(x=50, y=200, w=25, h=100) depth 4
improve 0.3.0.1.1 at Shape(x=75, y=200, w=25, h=100) depth 4
improve 0.3.0.1.2 at Shape(x=75, y=300, w=25, h=100) depth 4
improve 0.3.0.1.3 at Shape(x=50, y=300, w=25, h=100) depth 4
improve 0.3.0.0 at Shape(x=0, y=200, w=100, h=100) depth 3
improve 0.3.0.0.0 at Shape(x=0, y=200, w=50, h=100) depth 4
improve 0.3.0.0.1 at Shape(x=50, y=200, w=50, h=100) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=100, h=50) depth 4
improve 0.3.0.0.1 at Shape(x=0, y=250, w=100, h=50) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=50, h=50) depth 4
improve 0.3.0.0.1 at Shape(x=50, y=200, w=50, h=50) depth 4
improve 0.3.0.0.2 at Shape(x=50, y=250, w=50, h=50) depth 4
improve 0.3.0.0.3 at Shape(x=0, y=250, w=50, h=50) depth 4
improve 0.3.0.1 at Shape(x=0, y=300, w=100, h=100) depth 3
improve 0.3.0.1.0 at Shape(x=0, y=300, w=50, h=100) depth 4
improve 0.3.0.1.1 at Shape(x=50, y=300, w=50, h=100) depth 4
improve 0.3.0.1.0 at Shape(x=0, y=300, w=100, h=50) depth 4
improve 0.3.0.1.1 at Shape(x=0, y=350, w=100, h=50) depth 4
improve 0.3.0.1.0 at Shape(x=0, y=300, w=50, h=50) depth 4
improve 0.3.0.1.1 at Shape(x=50, y=300, w=50, h=50) depth 4
improve 0.3.0.1.2 at Shape(x=50, y=350, w=50, h=50) depth 4
improve 0.3.0.1.3 at Shape(x=0, y=350, w=50, h=50) depth 4
improve 0.3.0.0 at Shape(x=0, y=200, w=50, h=100) depth 3
improve 0.3.0.0.0 at Shape(x=0, y=200, w=25, h=100) depth 4
improve 0.3.0.0.1 at Shape(x=25, y=200, w=25, h=100) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=50, h=50) depth 4
improve 0.3.0.0.1 at Shape(x=0, y=250, w=50, h=50) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=25, h=50) depth 4
improve 0.3.0.0.1 at Shape(x=25, y=200, w=25, h=50) depth 4
improve 0.3.0.0.2 at Shape(x=25, y=250, w=25, h=50) depth 4
improve 0.3.0.0.3 at Shape(x=0, y=250, w=25, h=50) depth 4
improve 0.3.0.1 at Shape(x=50, y=200, w=50, h=100) depth 3
improve 0.3.0.1.0 at Shape(x=50, y=200, w=25, h=100) depth 4
improve 0.3.0.1.1 at Shape(x=75, y=200, w=25, h=100) depth 4
improve 0.3.0.1.0 at Shape(x=50, y=200, w=50, h=50) depth 4
improve 0.3.0.1.1 at Shape(x=50, y=250, w=50, h=50) depth 4
improve 0.3.0.1.0 at Shape(x=50, y=200, w=25, h=50) depth 4
improve 0.3.0.1.1 at Shape(x=75, y=200, w=25, h=50) depth 4
improve 0.3.0.1.2 at Shape(x=75, y=250, w=25, h=50) depth 4
improve 0.3.0.1.3 at Shape(x=50, y=250, w=25, h=50) depth 4
improve 0.3.0.2 at Shape(x=50, y=300, w=50, h=100) depth 3
improve 0.3.0.2.0 at Shape(x=50, y=300, w=25, h=100) depth 4
improve 0.3.0.2.1 at Shape(x=75, y=300, w=25, h=100) depth 4
improve 0.3.0.2.0 at Shape(x=50, y=300, w=50, h=50) depth 4
improve 0.3.0.2.1 at Shape(x=50, y=350, w=50, h=50) depth 4
improve 0.3.0.2.0 at Shape(x=50, y=300, w=25, h=50) depth 4
improve 0.3.0.2.1 at Shape(x=75, y=300, w=25, h=50) depth 4
improve 0.3.0.2.2 at Shape(x=75, y=350, w=25, h=50) depth 4
improve 0.3.0.2.3 at Shape(x=50, y=350, w=25, h=50) depth 4
improve 0.3.0.3 at Shape(x=0, y=300, w=50, h=100) depth 3
improve 0.3.0.3.0 at Shape(x=0, y=300, w=25, h=100) depth 4
improve 0.3.0.3.1 at Shape(x=25, y=300, w=25, h=100) depth 4
improve 0.3.0.3.0 at Shape(x=0, y=300, w=50, h=50) depth 4
improve 0.3.0.3.1 at Shape(x=0, y=350, w=50, h=50) depth 4
improve 0.3.0.3.0 at Shape(x=0, y=300, w=25, h=50) depth 4
improve 0.3.0.3.1 at Shape(x=25, y=300, w=25, h=50) depth 4
improve 0.3.0.3.2 at Shape(x=25, y=350, w=25, h=50) depth 4
improve 0.3.0.3.3 at Shape(x=0, y=350, w=25, h=50) depth 4
improve 0.3.1 at Shape(x=100, y=200, w=100, h=200) depth 2
improve 0.3.1.0 at Shape(x=100, y=200, w=50, h=200) depth 3
improve 0.3.1.0.0 at Shape(x=100, y=200, w=25, h=200) depth 4
improve 0.3.1.0.1 at Shape(x=125, y=200, w=25, h=200) depth 4
improve 0.3.1.0.0 at Shape(x=100, y=200, w=50, h=100) depth 4
improve 0.3.1.0.1 at Shape(x=100, y=300, w=50, h=100) depth 4
improve 0.3.1.0.0 at Shape(x=100, y=200, w=25, h=100) depth 4
improve 0.3.1.0.1 at Shape(x=125, y=200, w=25, h=100) depth 4
improve 0.3.1.0.2 at Shape(x=125, y=300, w=25, h=100) depth 4
improve 0.3.1.0.3 at Shape(x=100, y=300, w=25, h=100) depth 4
improve 0.3.1.1 at Shape(x=150, y=200, w=50, h=200) depth 3
improve 0.3.1.1.0 at Shape(x=150, y=200, w=25, h=200) depth 4
improve 0.3.1.1.1 at Shape(x=175, y=200, w=25, h=200) depth 4
improve 0.3.1.1.0 at Shape(x=150, y=200, w=50, h=100) depth 4
improve 0.3.1.1.1 at Shape(x=150, y=300, w=50, h=100) depth 4
improve 0.3.1.1.0 at Shape(x=150, y=200, w=25, h=100) depth 4
improve 0.3.1.1.1 at Shape(x=175, y=200, w=25, h=100) depth 4
improve 0.3.1.1.2 at Shape(x=175, y=300, w=25, h=100) depth 4
improve 0.3.1.1.3 at Shape(x=150, y=300, w=25, h=100) depth 4
improve 0.3.1.0 at Shape(x=100, y=200, w=100, h=100) depth 3
improve 0.3.1.0.0 at Shape(x=100, y=200, w=50, h=100) depth 4
improve 0.3.1.0.1 at Shape(x=150, y=200, w=50, h=100) depth 4
improve 0.3.1.0.0 at Shape(x=100, y=200, w=100, h=50) depth 4
improve 0.3.1.0.1 at Shape(x=100, y=250, w=100, h=50) depth 4
improve 0.3.1.0.0 at Shape(x=100, y=200, w=50, h=50) depth 4
improve 0.3.1.0.1 at Shape(x=150, y=200, w=50, h=50) depth 4
improve 0.3.1.0.2 at Shape(x=150, y=250, w=50, h=50) depth 4
improve 0.3.1.0.3 at Shape(x=100, y=250, w=50, h=50) depth 4
improve 0.3.1.1 at Shape(x=100, y=300, w=100, h=100) depth 3
improve 0.3.1.1.0 at Shape(x=100, y=300, w=50, h=100) depth 4
improve 0.3.1.1.1 at Shape(x=150, y=300, w=50, h=100) depth 4
improve 0.3.1.1.0 at Shape(x=100, y=300, w=100, h=50) depth 4
improve 0.3.1.1.1 at Shape(x=100, y=350, w=100, h=50) depth 4
improve 0.3.1.1.0 at Shape(x=100, y=300, w=50, h=50) depth 4
improve 0.3.1.1.1 at Shape(x=150, y=300, w=50, h=50) depth 4
improve 0.3.1.1.2 at Shape(x=150, y=350, w=50, h=50) depth 4
improve 0.3.1.1.3 at Shape(x=100, y=350, w=50, h=50) depth 4
improve 0.3.1.0 at Shape(x=100, y=200, w=50, h=100) depth 3
improve 0.3.1.0.0 at Shape(x=100, y=200, w=25, h=100) depth 4
improve 0.3.1.0.1 at Shape(x=125, y=200, w=25, h=100) depth 4
improve 0.3.1.0.0 at Shape(x=100, y=200, w=50, h=50) depth 4
improve 0.3.1.0.1 at Shape(x=100, y=250, w=50, h=50) depth 4
improve 0.3.1.0.0 at Shape(x=100, y=200, w=25, h=50) depth 4
improve 0.3.1.0.1 at Shape(x=125, y=200, w=25, h=50) depth 4
improve 0.3.1.0.2 at Shape(x=125, y=250, w=25, h=50) depth 4
improve 0.3.1.0.3 at Shape(x=100, y=250, w=25, h=50) depth 4
improve 0.3.1.1 at Shape(x=150, y=200, w=50, h=100) depth 3
improve 0.3.1.1.0 at Shape(x=150, y=200, w=25, h=100) depth 4
improve 0.3.1.1.1 at Shape(x=175, y=200, w=25, h=100) depth 4
improve 0.3.1.1.0 at Shape(x=150, y=200, w=50, h=50) depth 4
improve 0.3.1.1.1 at Shape(x=150, y=250, w=50, h=50) depth 4
improve 0.3.1.1.0 at Shape(x=150, y=200, w=25, h=50) depth 4
improve 0.3.1.1.1 at Shape(x=175, y=200, w=25, h=50) depth 4
improve 0.3.1.1.2 at Shape(x=175, y=250, w=25, h=50) depth 4
improve 0.3.1.1.3 at Shape(x=150, y=250, w=25, h=50) depth 4
improve 0.3.1.2 at Shape(x=150, y=300, w=50, h=100) depth 3
improve 0.3.1.2.0 at Shape(x=150, y=300, w=25, h=100) depth 4
improve 0.3.1.2.1 at Shape(x=175, y=300, w=25, h=100) depth 4
improve 0.3.1.2.0 at Shape(x=150, y=300, w=50, h=50) depth 4
improve 0.3.1.2.1 at Shape(x=150, y=350, w=50, h=50) depth 4
improve 0.3.1.2.0 at Shape(x=150, y=300, w=25, h=50) depth 4
improve 0.3.1.2.1 at Shape(x=175, y=300, w=25, h=50) depth 4
improve 0.3.1.2.2 at Shape(x=175, y=350, w=25, h=50) depth 4
improve 0.3.1.2.3 at Shape(x=150, y=350, w=25, h=50) depth 4
improve 0.3.1.3 at Shape(x=100, y=300, w=50, h=100) depth 3
improve 0.3.1.3.0 at Shape(x=100, y=300, w=25, h=100) depth 4
improve 0.3.1.3.1 at Shape(x=125, y=300, w=25, h=100) depth 4
improve 0.3.1.3.0 at Shape(x=100, y=300, w=50, h=50) depth 4
improve 0.3.1.3.1 at Shape(x=100, y=350, w=50, h=50) depth 4
improve 0.3.1.3.0 at Shape(x=100, y=300, w=25, h=50) depth 4
improve 0.3.1.3.1 at Shape(x=125, y=300, w=25, h=50) depth 4
improve 0.3.1.3.2 at Shape(x=125, y=350, w=25, h=50) depth 4
improve 0.3.1.3.3 at Shape(x=100, y=350, w=25, h=50) depth 4
improve 0.3.0 at Shape(x=0, y=200, w=200, h=100) depth 2
improve 0.3.0.0 at Shape(x=0, y=200, w=100, h=100) depth 3
improve 0.3.0.0.0 at Shape(x=0, y=200, w=50, h=100) depth 4
improve 0.3.0.0.1 at Shape(x=50, y=200, w=50, h=100) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=100, h=50) depth 4
improve 0.3.0.0.1 at Shape(x=0, y=250, w=100, h=50) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=50, h=50) depth 4
improve 0.3.0.0.1 at Shape(x=50, y=200, w=50, h=50) depth 4
